gene,start,end
E,26245,26472
M,26523,27191
N,28274,29533
ORF10,29558,29674
ORF1ab,266,17000
ORF3a,25393,26220
ORF6,27202,27387
ORF7a,27394,27759
ORF7b,27756,27887
ORF8,27893,28259
S,21563,25384
